0x417ed7,1560,20,78,0,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x409431,1552,500,3.104,390,fallbackSimpleSort,0x4093f0,424864,1847
0x7fd88c66d658,1400,1786,0.783875,720,_dl_deallocate_tls,0x7fd88c66aa70,0,0
0x40a08c,1383,1383,1,1,fallbackSort,0x409c33,2547275,1
0x7fd88c667318,1233,3,411,2,_dl_mcount,0x7fd88c6667b0,0,0
0x7fd878338c10,1200,0,inf,0,getenv,0x7fd878338b70,8250,30
0x40c857,1147,0,inf,0,BZ2_blockSort,0x40c679,14959,1
0x405a00,1089,0,inf,0,copy_output_until_stop,0x4059f2,53381,1
0x40c95d,1087,2648,0.410498,1526,bsW,0x40c94c,130586,2648
0x7fd88c661c6f,869,114,7.62281,94,_dl_rtld_di_serinfo,0x7fd88c660f60,0,0
0x40ed01,740,148,5,0,sendMTFValues,0x40ceee,1479734,1
0x40d452,740,148,5,0,sendMTFValues,0x40ceee,1479734,1
0x40946e,631,1017,0.620452,488,fallbackSimpleSort,0x4093f0,424864,1847
0x7fd88c661478,529,0,inf,0,_dl_rtld_di_serinfo,0x7fd88c660f60,0,0
0x40cf87,474,6,79,0,sendMTFValues,0x40ceee,1479734,1
0x7fd88c66d5e0,459,40,11.475,35,_dl_deallocate_tls,0x7fd88c66aa70,0,0
0x40cc81,400,0,inf,0,generateMTFValues,0x40cb2c,266623,1
0x40d1a1,395,5,79,0,sendMTFValues,0x40ceee,1479734,1
0x410a98,395,5,79,0,sendMTFValues,0x40ceee,1479734,1
0x41060f,395,5,79,0,sendMTFValues,0x40ceee,1479734,1
0x40a112,300,195,1.53846,63,fallbackSort,0x409c33,2547275,1
0x409c9c,257,1,257,0,fallbackSort,0x409c33,2547275,1
0x409e24,256,1,256,0,fallbackSort,0x409c33,2547275,1
0x409d31,256,1,256,0,fallbackSort,0x409c33,2547275,1
0x409d03,256,1,256,0,fallbackSort,0x409c33,2547275,1
0x404fa5,256,1,256,0,prepare_new_block,0x404f65,1814,1
0x40cade,256,1,256,0,makeMaps_e,0x40cac2,3239,1
0x4107aa,256,16,16,0,sendMTFValues,0x40ceee,1479734,1
0x7fd88c661630,208,4,52,3,_dl_rtld_di_serinfo,0x7fd88c660f60,0,0
0x7fd88c661362,199,0,inf,0,_dl_rtld_di_serinfo,0x7fd88c660f60,0,0
0x7fd88c661780,188,129,1.45736,85,_dl_rtld_di_serinfo,0x7fd88c660f60,0,0
0x418151,163,1560,0.104487,254,BZ2_hbMakeCodeLengths,0x417d54,960949,20
