0x4040c7, 101, 1, 101, 0, main, 0x4040af, 1432
0x7f947405eb70, 97, 95, 1.02105, 1, _dl_debug_state, 0x7f947405e300, 1796
0x7f947405ed1f, 95, 0, 1.02105, 18446744073709551615, _dl_debug_state, 0x7f947405e300, 1796
0x7f947407142c, 91, 5, 18.2, 3, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f94740712a8, 91, 5, 18.2, 4, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f94740713b4, 86, 81, 1.06173, 7, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f947406c9c4, 86, 0, 1.06173, 18446744073709551615, _dl_mcount, 0x7f947406b7b0, 36529
0x7f9474073cdd, 84, 72, 1.16667, 21, __tls_get_addr, 0x7f9474073230, 4090
0x40d0a4, 81, 0, 1.16667, 18446744073709551615, sendMTFValues, 0x40ceee, 1479734
0x40cb9a, 80, 1, 80, 0, generateMTFValues, 0x40cb2c, 266623
0x40cbd8, 78, 1, 78, 0, generateMTFValues, 0x40cb2c, 266623
0x7f94740645a9, 75, 21, 3.57143, 12, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9474073d30, 72, 0, 3.57143, 18446744073709551615, __tls_get_addr, 0x7f9474073230, 4090
0x410973, 67, 37, 1.81081, 23, sendMTFValues, 0x40ceee, 1479734
0x41057a, 67, 37, 1.81081, 23, sendMTFValues, 0x40ceee, 1479734
0x7f94740797a8, 61, 1, 61, 0, _dl_catch_error, 0x7f94740783f0, 26276
0x7f94740686c0, 61, 9, 6.77778, 5, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f94740635b8, 61, 1, 61, 0, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f94740797a0, 60, 1, 60, 0, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474060230, 58, 7, 8.28571, 5, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9460493168, 56, 0, 8.28571, 18446744073709551615, omp_test_nest_lock, 0x7f9460492de0, 782
0x7f9474068c20, 42, 3, 14, 2, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9474072620, 41, 0, 14, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f9474086230, 40, 3, 13.3333, 2, _dl_catch_error, 0x7f94740783f0, 26276
0x7f947407a4ab, 40, 1, 40, 0, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474077fc8, 40, 5, 8, 4, _dl_audit_symbind_alt, 0x7f9474076750, 256
0x7f94740725a0, 40, 0, 8, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f947406c080, 40, 1, 40, 0, _dl_mcount, 0x7f947406b7b0, 36529
0x7f947406c036, 40, 1, 40, 0, _dl_mcount, 0x7f947406b7b0, 36529
0x7f9474062231, 38, 0, 40, 18446744073709551615, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f94740621b0, 38, 36, 1.05556, 1, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9474061a59, 38, 0, 1.05556, 18446744073709551615, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x41096a, 38, 1, 38, 0, sendMTFValues, 0x40ceee, 1479734
0x410547, 38, 1, 38, 0, sendMTFValues, 0x40ceee, 1479734
0x7f9474064808, 37, 6, 6.16667, 5, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x4182b9, 37, 5, 7.4, 4, BZ2_hbAssignCodes, 0x418294, 33896
0x410bba, 37, 0, 7.4, 18446744073709551615, sendMTFValues, 0x40ceee, 1479734
0x7f9474062091, 36, 0, 7.4, 18446744073709551615, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9474063dd8, 35, 12, 2.91667, 5, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9460343c5b, 35, 5, 7, 0, .text, 0x7f94603390b0, 7111
0x409ea5, 33, 1, 33, 0, fallbackSort, 0x409c33, 2547275
0x7f9474078c52, 32, 4, 8, 0, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474078c5f, 32, 15, 2.13333, 3, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474068ad8, 32, 2, 16, 0, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9474074300, 30, 25, 1.2, 2, __tls_get_addr, 0x7f9474073230, 4090
0x7f9474070ea8, 28, 6, 4.66667, 3, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f9474061b10, 28, 6, 4.66667, 5, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f947407d8a1, 26, 3, 8.66667, 1, _dl_catch_error, 0x7f94740783f0, 26276
0x7f9474065470, 26, 26, 1, 18446744073709551615, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9474061a50, 26, 25, 1.04, 1, __nptl_change_stack_perm, 0x7f94740601b0, 12969
0x7f9474074323, 25, 0, 1.04, 18446744073709551615, __tls_get_addr, 0x7f9474073230, 4090
0x7f947407432d, 25, 25, 1, 18446744073709551615, __tls_get_addr, 0x7f9474073230, 4090
0x7f9474073db0, 25, 18, 1.38889, 13, __tls_get_addr, 0x7f9474073230, 4090
0x7f9474073cd0, 25, 25, 1, 18446744073709551615, __tls_get_addr, 0x7f9474073230, 4090
0x7f9474072e04, 25, 0, 1, 18446744073709551615, __tunable_get_val, 0x7f9474072dd0, 719
0x7f9460276738, 24, 2, 12, 0, readdir64, 0x7f94602766f0, 998
